,Rank,sample_id,factor,cell_line,cell_type,tissue,DNase_p_value,ChIP-seq_p_value,H3K27ac_p_value,summary_p_value
59,60,63664,BCL3,A549,Epithelium,Lung,1.776094232887933e-21,1.03966243949172e-25,1.8264591369232593e-17,3.118804736977498e-25
60,61,45864,MAFK,IMR90,Fibroblast,Lung,9.929455804402192e-18,1.1778475704578058e-25,1.6040506921242456e-12,3.533542669457722e-25
61,62,1740,FOS,None,Endothelial Cell,Umbilical Vein,2.937720885016599e-21,1.2730803556057563e-25,4.0575053048119873e-16,3.819075563508118e-25
62,63,34236,STAT3,MCF-10A,Epithelium,Breast,7.993296675067759e-16,1.3041495291829897e-25,1.3712719890655556e-11,3.9124485869105936e-25
63,64,58333,MED1,LNCaP-abl,Epithelium,Prostate,2.5382634170803727e-25,3.0374214641491453e-25,3.9853241934576266e-24,4.009147145581999e-25
64,65,46079,NR3C1,A549,Epithelium,Lung,9.08071839805285e-19,3.2760981439731095e-25,1.7691054683700997e-15,9.828290884313208e-25
65,66,46005,FOS,MCF-10A,Epithelium,Breast,1.0808921225983467e-16,5.516428573560337e-25,1.7155016878253985e-12,1.654928563621495e-24
66,67,49021,CPSF3L,HeLa,Epithelium,Cervix,8.932620137480479e-23,7.50736425289879e-25,1.3414511536692748e-20,2.2333145383655716e-24
67,68,62934,BCL3,A549,Epithelium,Lung,4.799815482416799e-20,1.0506221143382232e-24,1.809023051519502e-15,3.1517973521629915e-24
68,69,71807,FOXA1,None,None,Breast,9.470866875747705e-18,1.1056792384399412e-24,1.1389977397153404e-13,3.3170373280391056e-24
69,70,64184,BCL3,A549,Epithelium,Lung,1.48496056300564e-21,1.1376582672580321e-24,5.566569991104856e-19,3.410355090032633e-24
70,71,63855,BCL3,A549,Epithelium,Lung,7.705385260658076e-23,1.5009005012450724e-24,1.1362904637592451e-20,4.4160988074724235e-24
71,72,62535,BCL3,A549,Epithelium,Lung,6.232441094329122e-19,1.6148599653448806e-24,2.642011202774445e-15,4.8445673406008125e-24
72,73,32784,ATF3,None,Glioblastoma Multiforme Stem Like,None,1.2006869755253085e-18,1.69036309490708e-24,1.7176490454026348e-14,5.071082145001344e-24
73,74,5458,CEBPB,LS180,Epithelium,Colon,1.3175034005832771e-17,1.792706194131904e-24,1.3279586453510138e-13,5.378117850531073e-24
74,75,63200,BCL3,A549,Epithelium,Lung,1.3130024156566657e-21,1.7952479201977943e-24,5.622137196012911e-19,5.378372820422541e-24
75,76,62932,BCL3,A549,Epithelium,Lung,1.1252154647561109e-17,2.0529501089722767e-24,2.6063597726737e-13,6.1588492031892916e-24
76,77,50899,LHX2,6540 cells,Epithelium,None,4.554853624400047e-21,2.8328877312704116e-24,1.0431955516005995e-19,8.493150246665607e-24
77,78,63002,BCL3,A549,Epithelium,Lung,3.089664021580035e-20,2.911699886878726e-24,4.2284030830105915e-15,8.734276536300858e-24
78,79,63884,BCL3,A549,Epithelium,Lung,5.144211013491384e-18,2.9878815541121835e-24,1.7066613352464456e-13,8.963639455882087e-24
79,80,73533,CEBPB,SUM159PT,None,Breast,3.1335645935923256e-18,4.177565447523156e-24,5.85849487819199e-14,1.2532679633519144e-23
80,81,56978,GTF2B,HeLa,Epithelium,Cervix,4.278307029572812e-22,4.6697850555072874e-24,1.43403375461444e-19,1.3857647267511913e-23
81,82,63003,CEBPB,A549,Epithelium,Lung,3.9476680073927436e-21,4.851652993741727e-24,1.495596603768093e-18,1.4537045908342316e-23
82,83,64103,BCL3,A549,Epithelium,Lung,1.4191585084908308e-21,5.087646587810801e-24,2.4474624068893943e-18,1.5208386476500692e-23
83,84,46359,REST,SK-N-SH,Neuroblastoma cell,Brain,1.2900392661690382e-19,5.7068564553627696e-24,2.566750186809163e-16,1.7119811641777405e-23
84,85,63885,BCL3,A549,Epithelium,Lung,3.1329727219943164e-17,5.728600396887253e-24,2.660951770329367e-14,1.7185798044558778e-23
85,86,47287,FOSL1,BT-549,Epithelium,Mammary Gland,3.699943097734746e-19,6.0367978997741044e-24,2.3295423892565096e-17,1.8110093523401954e-23
86,87,46221,TAF1,HeLa-S3,Epithelium,Cervix,1.1471729640308855e-17,6.338680463346163e-24,1.5765872925398504e-14,1.9016030875131868e-23
87,88,58640,MED1,LNCaP-abl,Epithelium,Prostate,1.8205930365011772e-23,2.057115075432746e-23,5.401467792270363e-22,2.8465624963497165e-23
88,89,46345,TAF1,SK-N-SH,Neuroblastoma cell,Brain,5.998936256677494e-17,9.573363414004227e-24,3.103147160508285e-13,2.872008565785042e-23
89,90,63602,BCL3,A549,Epithelium,Lung,7.243789888194512e-23,1.1070858076081378e-23,8.495048909183124e-21,2.877701181668482e-23
90,91,68222,NR3C1,BEAS-2B,Epithelium,Lung,8.07739143101546e-18,1.0086613900101884e-23,1.1613926389093981e-14,3.0259803887195473e-23
91,92,64102,BCL3,A549,Epithelium,Lung,4.218952984636662e-19,1.058265014865931e-23,1.7546132091582313e-15,3.1747153925211895e-23
92,93,54243,FOXO1,None,Stromal Cell,Endometrium,1.4037673151593894e-14,1.114136897012674e-23,2.798455482573796e-11,3.342410688392739e-23
93,94,49484,MED1,None,Myoblast,None,1.4137056478786859e-19,1.1143813572331845e-23,9.982786614236447e-14,3.342880562173401e-23
94,95,46074,CEBPB,A549,Epithelium,Lung,9.94612656674947e-20,1.2019991235537354e-23,1.0276977202379859e-15,3.6055615948754037e-23
95,96,45997,STAT3,MCF-10A,Epithelium,Breast,7.3248173314757e-15,1.5441415712385755e-23,5.015273324327699e-11,4.6324247040087147e-23
96,97,46362,TCF12,SK-N-SH,Neuroblastoma cell,Brain,1.5758962309083943e-14,1.7159008953835803e-23,1.3586124035416318e-09,5.147702680553439e-23
97,98,74345,OTX2,D283 Med,None,None,9.562176694315719e-18,1.7729271635910768e-23,9.70130480331228e-15,5.318771619497698e-23
98,99,64802,BCL3,A549,Epithelium,Lung,2.035299270924242e-19,2.1254621169217e-23,4.027859889465237e-15,6.375720501083709e-23
99,100,37580,FAIRE,None,Epithelium,Mammary Gland,1.4869449015361198e-15,2.3994398393924308e-23,4.908777064461431e-12,7.198319403283003e-23
100,101,44435,TAL1,None,None,Cord blood,5.927994026864946e-22,3.1484177112304804e-23,2.535959123793158e-16,8.968904416160599e-23
101,102,45866,MXI1,IMR90,Fibroblast,Lung,7.584177188123942e-16,3.184610537894484e-23,2.3266525484830983e-14,9.553831199442991e-23
102,103,48249,WDR5,LNCaP,Epithelium,Prostate,9.59831021473464e-23,1.6745076181929533e-22,1.2351859766122836e-22,1.2251722863393556e-22
103,104,58639,MED1,LNCaP-abl,Epithelium,Prostate,9.63290811323785e-23,8.818515647856077e-23,9.089507175025372e-22,1.314577086669179e-22
104,105,5459,CEBPB,LS180,Epithelium,Colon,2.543320161465851e-16,4.57180580993767e-23,2.4596677302908524e-13,1.3715414961816748e-22
105,106,58638,MED1,LNCaP-abl,Epithelium,Prostate,8.650114070338977e-23,1.3170025201912096e-22,6.064595675756047e-22,1.4421374349674849e-22
106,107,37354,JUN,A549,Epithelium,Lung,1.2411286663397946e-17,5.0526438842745554e-23,1.3142155954938723e-14,1.5157869886852937e-22
107,108,64913,BCL3,A549,Epithelium,Lung,2.210959295845132e-17,5.932885834365744e-23,2.462087302507055e-13,1.7798609738037523e-22
108,109,62940,CEBPB,A549,Epithelium,Lung,1.624006742911694e-19,6.257657229092233e-23,6.08226989331781e-17,1.8765721532804336e-22
109,110,63667,CEBPB,A549,Epithelium,Lung,7.722818107335978e-20,6.5371522661234e-23,1.6094751798650917e-16,1.959486232972973e-22
110,111,34997,FOXM1,MDA-MB-231,Epithelium,Breast,8.644485559102181e-17,6.68209225072453e-23,1.0900447938452527e-14,2.0046261133789152e-22
111,112,64914,BCL3,A549,Epithelium,Lung,1.816289765207942e-17,6.79860913083217e-23,1.988358611169922e-13,2.039575104157058e-22
112,113,46349,MAX,SK-N-SH,Neuroblastoma cell,Brain,1.548739320566617e-17,8.854877013184342e-23,4.1867402258953796e-13,2.6564479152211826e-22
113,114,62933,BCL3,A549,Epithelium,Lung,9.835274528293878e-19,9.303850728871978e-23,3.036699558896079e-15,2.790891124519822e-22
114,115,36031,FAIRE,None,Epithelium,Cervix,3.7662239398372897e-17,9.312145533074356e-23,9.369397622356198e-16,2.793636474883199e-22
115,116,67719,FOXA1,LNCaP,Epithelium,Prostate,1.9824503193917531e-16,1.160886638230886e-22,4.357335695101107e-12,3.4826578752191364e-22
116,117,63415,CEBPB,A549,Epithelium,Lung,5.811694373688265e-18,1.194158538784685e-22,1.0264223300046859e-14,3.5824019652471717e-22
117,118,64801,BCL3,A549,Epithelium,Lung,3.3879019458022325e-22,2.238777465722906e-22,6.474754514659114e-21,3.9615210415724885e-22
118,119,70174,DNMT3B,None,Keratinocyte,Foreskin,1.4572630265281411e-21,1.7086514451843388e-22,5.401798021467357e-21,4.461689580428539e-22
119,120,44433,TAL1,None,None,Cord blood,1.6236282624195839e-18,1.6519513730442473e-22,8.779030148312853e-14,4.955349930539537e-22
120,121,46067,FOXA1,A549,Epithelium,Lung,1.0995569762604777e-14,1.7407289557726244e-22,2.7862159385149275e-12,5.222186784691285e-22
121,122,47288,JUN,BT-549,Epithelium,Mammary Gland,7.980033179864949e-18,2.1599547702586843e-22,1.7273406249469644e-15,6.479688109414414e-22
122,123,50039,FOXA1,LNCaP,Epithelium,Prostate,8.626570256483776e-14,2.2595691867843495e-22,2.446443541512306e-10,6.778707542602097e-22
123,124,73534,CEBPB,SUM159PT,None,Breast,5.815696380214622e-16,2.31943737244752e-22,6.592346154658152e-13,6.958309339755927e-22
124,125,63000,BCL3,A549,Epithelium,Lung,6.317061694431302e-22,5.4224810842951305e-22,1.6720299139334544e-21,7.452927060216084e-22
125,126,49000,AFF4,HeLa,Epithelium,Cervix,1.126915375240914e-20,3.150809107382013e-22,5.851853546885312e-20,9.147416933238582e-22
126,127,39025,BRD4,U87,None,Brain,1.1451638834253415e-17,3.154494584502251e-22,1.5708762595889034e-12,9.463223075502533e-22
127,128,45764,CHD2,HeLa-S3,Epithelium,Cervix,7.859068805525644e-16,3.295997947267063e-22,1.035532862268491e-12,9.88798969175146e-22
128,129,67806,BRD4,HCC1395,None,None,6.463695714934587e-16,3.563144790752655e-22,2.0901645640180244e-11,1.06894284794745e-21
129,130,50896,OTX2,6540 cells,Epithelium,None,4.815549856358934e-20,3.919241812111517e-22,5.3814584584270696e-20,1.1579156512355564e-21
130,131,54676,YAP1,NCI-H2052,Epithelium,Lung,4.29999191454416e-13,4.083938081388841e-22,5.038404604291885e-08,1.225181423253105e-21
131,132,67735,FOXA1,LNCaP,Epithelium,Prostate,8.0778650284272535e-16,4.407491461413604e-22,3.928943770728275e-13,1.3222467154889916e-21
132,133,54608,YAP1,SF268,None,None,4.295040288911167e-18,4.746170159978385e-22,2.8335236967166032e-15,1.4236934874999036e-21
133,134,71243,CEBPB,None,Osteoblast,None,1.3802955587727975e-18,5.338035120321557e-22,3.968244322592168e-14,1.600791438421784e-21
134,135,52500,JUN,None,None,Coronary artery smooth muscle,9.239063973969108e-19,5.69818933414022e-22,2.5434219201700876e-13,1.708403139402646e-21
135,136,75165,KLF10,A549,Epithelium,Lung,2.23027537742176e-21,1.8900468958336916e-21,2.218110234283004e-21,2.100403859933935e-21
136,137,63199,BCL3,A549,Epithelium,Lung,4.193560939612215e-19,8.144499486911315e-22,1.3374962551678633e-16,2.4385988862089596e-21
137,138,73526,BRD4,SUM159PT,mammary carcinoma cell line,Breast,1.446105082588197e-13,1.2199938839134387e-21,5.04439054923288e-10,3.659981620858236e-21
138,139,74361,OTX2,D283 Med,None,None,9.76967778972077e-16,1.2340313791020789e-21,3.990553858124787e-13,3.7020894496607034e-21
139,140,56427,MYC,None,Epithelium,Breast,9.064035510442518e-19,1.2950549933719768e-21,5.0875880744835875e-17,3.879523224983236e-21
140,141,59542,MYC,IMEC,Epithelium,Breast,9.064035510442518e-19,1.2950549933719768e-21,5.0875880744835875e-17,3.879523224983236e-21
141,142,41411,ERCC3,HT1080,None,Connective Tissue,1.0933436057705756e-20,1.4816383559512289e-21,2.4181500776139115e-19,3.893441795427117e-21
142,143,46060,SP1,A549,Epithelium,Lung,6.661615969079728e-15,1.3431609760468259e-21,1.121459496443671e-11,4.029482115413191e-21
143,144,54104,DAXX,PC-3,Epithelium,Prostate,1.708156356408764e-13,1.422344995307899e-21,2.053453681864987e-09,4.267034950397335e-21
144,145,74360,NEUROD1,D283 Med,None,None,1.1008743246100065e-16,1.754727164921543e-21,6.8811925163970605e-15,5.2640962447484694e-21
145,146,75043,E2F1,MDA-MB-231,None,Breast,7.748277985281079e-15,2.1322380786076064e-21,2.3195316869533415e-11,6.396712485299105e-21
146,147,45762,CEBPB,HeLa-S3,Epithelium,Cervix,3.3102704088090477e-16,2.26784814308258e-21,1.0542271539999997e-12,6.8034978042205e-21
147,148,55666,PAF1,HCT-116,None,Colon,1.3892124450397207e-19,2.331918482146224e-21,1.0576477636218403e-17,6.878772400185771e-21
148,149,68230,NR3C1,BEAS-2B,Epithelium,Lung,2.8677726048890534e-15,2.3626540758108926e-21,3.755097793706231e-11,7.087956486672197e-21
149,150,63605,CEBPB,A549,Epithelium,Lung,9.427541096967946e-19,2.4789848793047177e-21,1.1158621169305603e-16,7.417286001036223e-21
150,151,64399,CEBPB,A549,Epithelium,Lung,3.090001422278876e-17,2.612681983077041e-21,7.89587762213843e-15,7.837380696571296e-21
151,152,32875,FAIRE,MCF7-LTED,Epithelium,Mammary Gland,4.7292180198518546e-15,2.9621802636867753e-21,1.2555226657162874e-13,8.886535045519541e-21
152,153,73510,BRD4,SUM159PT,mammary carcinoma cell line,Breast,2.7479763264011285e-12,3.0688916996359445e-21,3.53655925406511e-08,9.20667508862534e-21
153,154,46058,GATA3,A549,Epithelium,Lung,1.4809300974369594e-16,3.1890937275608668e-21,5.269620865122873e-14,9.567074582282305e-21
154,155,75164,KLF10,A549,Epithelium,Lung,1.0300691698438286e-20,7.725742817408363e-21,1.1569654825232034e-20,9.58615749428607e-21
155,156,54609,YAP1,SF268,None,None,5.794698435200243e-17,3.401362514256955e-21,1.440060907446005e-15,1.0203464403799749e-20
156,157,74362,OTX2,D283 Med,None,None,4.555110260498721e-16,4.2097716509242595e-21,9.960401889061189e-14,1.2629197701663462e-20
157,158,64400,CEBPB,A549,Epithelium,Lung,2.2229857309810348e-17,4.277746081703182e-21,3.297512255255453e-15,1.2830752410680385e-20
158,159,68223,NR3C1,BEAS-2B,Epithelium,Lung,1.0558966779651681e-14,4.2870274595421955e-21,1.6237832780921444e-11,1.2861077149417087e-20
159,160,33143,FOXA1,MCF-7,Epithelium,Breast,1.9631773029340103e-13,4.294946138823197e-21,1.2017573240600434e-09,1.2884838134604077e-20
160,161,54105,DAXX,PC-3,Epithelium,Prostate,1.517450105982088e-14,4.962700185987602e-21,3.3568163154530566e-11,1.4888095677177826e-20
161,162,48250,WDR5,LNCaP,Epithelium,Prostate,1.2653045625929398e-20,8.814523289350753e-21,1.431381909058855e-19,1.5040025919796473e-20
162,163,46000,E2F4,MCF-10A,Epithelium,Breast,5.523956705157726e-15,5.183505495956181e-21,4.965342518550709e-12,1.5550502085730134e-20
163,164,68229,NR3C1,BEAS-2B,Epithelium,Lung,3.700623199563997e-14,5.4070414945626016e-21,4.444747976679653e-10,1.6221122116532976e-20
164,165,46360,SIN3A,SK-N-SH,Neuroblastoma cell,Brain,2.2845476877365205e-16,5.941179161682971e-21,1.5779294335645693e-12,1.782307391229525e-20
165,166,45743,JUND,HeLa-S3,Epithelium,Cervix,4.215733119046852e-15,7.304777574219303e-21,2.5445052007832052e-12,2.1914295084537414e-20
166,167,73504,BRD4,SUM159PT,mammary carcinoma cell line,Breast,2.3478665021146845e-14,7.3696366084398e-21,3.057745131830753e-10,2.2108902886947098e-20
167,168,46308,JUND,MCF-7,Epithelium,Breast,2.2131885996927946e-16,7.560005378991204e-21,3.4028232159788065e-14,2.267923639914281e-20
168,169,51055,FOXA1,VCaP,Epithelium,Prostate,2.449368784672272e-14,8.970006069944168e-21,1.6599677146388525e-11,2.6910008332629813e-20
169,170,43854,AR,VCaP,Epithelium,Prostate,2.7734068405251552e-17,9.612578532462909e-21,6.775237601274915e-15,2.882770324370953e-20
170,171,51270,FOXA1,VCaP,Epithelium,Prostate,7.003151662071868e-14,9.720013775350506e-21,7.39771756661341e-11,2.9160037276739607e-20
171,172,55299,JUN,MDA-MB-231,Epithelium,Breast,3.776598976130199e-16,9.85476144241347e-21,2.3672581302147492e-12,2.9563512765720744e-20
172,173,67731,FOXA1,LNCaP,Epithelium,Prostate,4.524635846538353e-14,1.1538062599431451e-20,8.068146219066646e-10,3.461417897249871e-20
173,174,71216,FOXA1,LNCaP,Epithelium,Prostate,4.458794910013795e-15,1.2309496848308604e-20,5.872946074182546e-11,3.692838889525678e-20
174,175,53324,NELFE,HeLa,Epithelium,Cervix,1.654229495967795e-16,1.2635076044035591e-20,4.7948726356826036e-14,3.79023231614913e-20
175,176,55300,JUN,MDA-MB-231,Epithelium,Breast,1.2629861862870712e-16,1.2890330427668955e-20,3.84465452136327e-13,3.866704353844918e-20
176,177,46008,MYC,MCF-10A,Epithelium,Breast,1.1173502142407344e-13,1.4860860506081356e-20,1.0971728980514729e-10,4.4582575584165247e-20
177,178,53346,CDK9,HeLa,Epithelium,Cervix,1.038336471866399e-15,1.5220794811904043e-20,1.969792304198432e-14,4.5661705507046094e-20
178,179,5389,RELA,A549,Epithelium,Lung,9.306004578345256e-17,1.5660775812839528e-20,3.0289329739477247e-13,4.697441983560244e-20
179,180,48994,AFF4,HeLa,Epithelium,Cervix,1.2489676521594907e-13,1.6039462618794103e-20,1.5059290550204778e-13,4.8118376554006666e-20
180,181,46334,TAF1,PFSK-1,Neuron,Brain,1.1534658759890642e-14,1.6582089834159358e-20,2.223349328563318e-13,4.974619431259567e-20
181,182,63663,BCL3,A549,Epithelium,Lung,1.4825751383559035e-17,1.9176288227661136e-20,3.2492689211482713e-15,5.745421398495e-20
182,183,71138,BRD4,MCF-10A,Epithelium,None,1.7536442679370905e-19,2.1916880086046223e-20,3.18561431609208e-17,5.841038015597505e-20
183,184,2278,E2F1,MCF-7,Epithelium,Breast,6.589897184176539e-14,1.9682790843043823e-20,4.254786862878991e-12,5.904835461754755e-20
184,185,67829,BRD4,SUM159R,None,None,8.071516130702005e-18,2.04728297254246e-20,1.8115082192725125e-15,6.126242602008831e-20
185,186,5388,RELA,A549,Epithelium,Lung,1.6632643220867615e-15,2.1341378322892615e-20,3.586779712011065e-12,6.402333824966132e-20
186,187,51057,FOXA1,VCaP,Epithelium,Prostate,3.4872790759324763e-16,2.1957959230529207e-20,1.8459163003187636e-12,6.586972936264216e-20
187,188,62533,BCL3,A549,Epithelium,Lung,2.390627722475128e-16,2.247176890557293e-20,3.9286643920817006e-13,6.740896645511501e-20
188,189,50380,EZH2,None,Proerythroblast,Fetal Liver,7.584941875593749e-20,6.858346119144635e-20,6.457729721991583e-20,6.936398595011671e-20
